id,value,nearTokenId,createdAt
137375,111480,btc.omft.near,2025-09-01 17:01:23
137376,9018206,btc.omft.near,2025-09-01 17:01:23
137377,1000000,btc.omft.near,2025-09-01 17:01:23
137378,31102,btc.omft.near,2025-09-01 17:01:23
137379,14000,btc.omft.near,2025-09-01 17:01:23
137381,26138,btc.omft.near,2025-09-01 17:01:50
137382,15000,btc.omft.near,2025-09-01 17:01:50
137383,254921,btc.omft.near,2025-09-01 17:01:50
137384,82000,btc.omft.near,2025-09-01 17:01:50
137385,480000,btc.omft.near,2025-09-01 17:01:50
137386,11110,btc.omft.near,2025-09-01 17:01:50
137387,25000,btc.omft.near,2025-09-01 17:01:51
137388,1700000,btc.omft.near,2025-09-01 17:01:51
137389,54909,btc.omft.near,2025-09-01 17:01:51
137390,556000,btc.omft.near,2025-09-01 17:01:51
137391,26138,btc.omft.near,2025-09-01 17:01:51
137482,434000,btc.omft.near,2025-09-01 17:21:17
137500,50000,btc.omft.near,2025-09-01 17:25:57
137501,20000,btc.omft.near,2025-09-01 17:25:57
137502,100000000,btc.omft.near,2025-09-01 17:25:57
137503,15118,btc.omft.near,2025-09-01 17:25:57
137504,2000000,btc.omft.near,2025-09-01 17:25:57
137505,2500000,btc.omft.near,2025-09-01 17:25:58
137511,70000,btc.omft.near,2025-09-01 17:26:53
137512,10000,btc.omft.near,2025-09-01 17:26:53
137513,23094,btc.omft.near,2025-09-01 17:26:53
137514,20000,btc.omft.near,2025-09-01 17:26:53
137581,167474,btc.omft.near,2025-09-01 17:43:47
137582,78963,btc.omft.near,2025-09-01 17:43:47
137583,13000,btc.omft.near,2025-09-01 17:43:47
137584,100000,btc.omft.near,2025-09-01 17:43:47
137585,19260,btc.omft.near,2025-09-01 17:43:47
137586,892000,btc.omft.near,2025-09-01 17:43:47
137587,108000,btc.omft.near,2025-09-01 17:43:47
137588,2250000,btc.omft.near,2025-09-01 17:43:48
137589,189000,btc.omft.near,2025-09-01 17:43:49
137640,83000,btc.omft.near,2025-09-01 17:57:24
137641,500000,btc.omft.near,2025-09-01 17:57:24
137642,200000,btc.omft.near,2025-09-01 17:57:24
137643,10000,btc.omft.near,2025-09-01 17:57:24
137644,457000,btc.omft.near,2025-09-01 17:57:24
137645,20000,btc.omft.near,2025-09-01 17:57:24
137646,25548,btc.omft.near,2025-09-01 17:57:24
137647,32000,btc.omft.near,2025-09-01 17:57:24
137648,39129,btc.omft.near,2025-09-01 17:57:24
137649,23761,btc.omft.near,2025-09-01 17:57:24
137650,12030000,btc.omft.near,2025-09-01 17:57:24
137651,1000000,btc.omft.near,2025-09-01 17:57:24
137652,47000,btc.omft.near,2025-09-01 17:57:24
137743,2210000,btc.omft.near,2025-09-01 18:24:18
137744,791577,btc.omft.near,2025-09-01 18:24:18
137745,11010,btc.omft.near,2025-09-01 18:24:18
137746,10007,btc.omft.near,2025-09-01 18:24:18
137747,19298,btc.omft.near,2025-09-01 18:24:18
137748,200000,btc.omft.near,2025-09-01 18:24:18
137749,10000,btc.omft.near,2025-09-01 18:24:18
137750,10000,btc.omft.near,2025-09-01 18:24:18
137751,624479,btc.omft.near,2025-09-01 18:24:18
137752,220000,btc.omft.near,2025-09-01 18:24:18
137792,16000,btc.omft.near,2025-09-01 18:35:22
137793,700000,btc.omft.near,2025-09-01 18:35:22
137794,3500000,btc.omft.near,2025-09-01 18:35:22
137795,4125485,btc.omft.near,2025-09-01 18:35:22
137796,84000,btc.omft.near,2025-09-01 18:35:22
137797,22723,btc.omft.near,2025-09-01 18:35:22
137798,15000,btc.omft.near,2025-09-01 18:35:22
137799,3800000,btc.omft.near,2025-09-01 18:35:23
137800,3800000,btc.omft.near,2025-09-01 18:35:23
137801,349043,btc.omft.near,2025-09-01 18:35:23
137802,31000,btc.omft.near,2025-09-01 18:35:23
137803,435650,btc.omft.near,2025-09-01 18:35:23
137804,174521,btc.omft.near,2025-09-01 18:35:23
